species max_log10_error_dex cubic_vs_piecewise_dex pchip_vs_piecewise_dex cubic_vs_pchip_dex
O 5.039635807957e-05 5.032908582336e-05 5.039635807957e-05 6.727225621006e-08
H 9.826384130199e-06 9.826315993896e-06 9.826384130199e-06 6.813630283359e-11
N 3.970271598597e-06 3.970271598597e-06 3.967773915647e-06 2.497682949354e-09
Na+ 2.387201796239e-07 2.374262901839e-07 2.387201796239e-07 1.293889440035e-09
P+ 2.231426332600e-07 2.230990290286e-07 2.231426332600e-07 4.360423133676e-11
S+ 1.872290509297e-07 1.872290509297e-07 1.871607242521e-07 6.832667764911e-11
Si+ 9.687236790512e-08 9.687236790512e-08 9.686761792693e-08 4.749978188556e-12
C+ 7.347292196869e-08 7.347292196869e-08 7.321759465384e-08 2.553273148465e-10
Mg+ 7.970371029842e-09 7.618252695352e-09 7.970371029842e-09 3.521183344901e-10
He 5.455186524728e-09 5.429155347514e-09 5.455186524728e-09 2.603117721378e-11
Fe+ 1.626483836503e-09 1.626483836503e-09 1.586009545917e-09 4.047429058573e-11
C2N2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9H+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C9H 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2H5OH2+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2H5OH+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2H5CHO 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH2CCH 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH2CCH2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
C2H5+ 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH2CHCHCH2 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
CH2CHCN 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00 0.000000000000e+00
